t,producer_price_index_MoM_change
1991-02-01,0.001524390243902607
1991-03-01,-0.0015220700152208666
1991-04-01,0.009146341463414753
1991-05-01,0.0
1991-06-01,0.001510574018126709
1991-07-01,0.007541478129713397
1991-08-01,0.0014970059880241582
1991-09-01,0.002989536621823552
1991-10-01,-0.0014903129657226621
1991-11-01,0.0014925373134326847
1991-12-01,0.0
1992-01-01,-0.005961251862891093
1992-02-01,0.004497751124437732
1992-03-01,0.0029850746268658135
1992-04-01,0.004464285714285587
1992-05-01,-0.001481481481481417
1992-06-01,0.004451038575667532
1992-07-01,-0.002954209748892267
1992-08-01,0.0
1992-09-01,-0.001481481481481417
1992-10-01,-0.0014836795252226587
1992-11-01,0.0014858841010403356
1992-12-01,0.0
1993-01-01,-0.0014836795252226587
1993-02-01,0.002971768202080227
1993-03-01,0.0
1993-04-01,-0.002962962962963056
1993-05-01,0.0
1993-06-01,0.0
1993-07-01,0.0014858841010403356
1993-08-01,0.0
1993-09-01,-0.004451038575667865
1993-10-01,0.0
1993-11-01,0.0014903129657228842
1993-12-01,0.0014880952380951218
1994-01-01,0.0014858841010403356
1994-02-01,0.0014836795252224366
1994-03-01,0.001481481481481417
1994-04-01,-0.0014792899408283544
1994-05-01,0.001481481481481417
1994-06-01,0.0
1994-07-01,0.0
1994-08-01,0.0
1994-09-01,-0.0014792899408283544
1994-10-01,0.002962962962963056
1994-11-01,0.005908419497784312
1994-12-01,0.002936857562408246
1995-01-01,0.002928257686676483
1995-02-01,0.004379562043795637
1995-03-01,0.0029069767441860517
1995-04-01,-0.0028985507246377384
1995-05-01,0.0
1995-06-01,0.0014534883720931369
1995-07-01,-0.0014513788098694524
1995-08-01,0.0
1995-09-01,0.0014534883720931369
1995-10-01,0.0
1995-11-01,0.0
1995-12-01,0.002902757619738683
1996-01-01,-0.01591895803183785
1996-02-01,0.0
1996-03-01,-0.0014705882352940014
1996-04-01,-0.0014727540500737435
1996-05-01,0.001474926253687503
1996-06-01,-0.0014727540500737435
1996-07-01,-0.001474926253687281
1996-08-01,0.0
1996-09-01,0.004431314623338123
1996-10-01,0.004411764705882337
1996-11-01,0.0014641288433383526
1996-12-01,0.0014619883040933868
1997-01-01,-0.0014598540145984717
1997-02-01,0.0014619883040933868
1997-03-01,-0.0014598540145984717
1997-04-01,0.0014619883040933868
1997-05-01,0.0029197080291971655
1997-06-01,0.0
1997-07-01,0.0014556040756912303
1997-08-01,0.0043604651162789665
1997-09-01,-0.0014471780028942893
1997-10-01,0.0014492753623187582
1997-11-01,0.0
1997-12-01,0.0014471780028944004
1998-01-01,-0.0028901734104046506
1998-02-01,0.0
1998-03-01,0.0014492753623187582
1998-04-01,-0.004341534008682979
1998-05-01,0.0
1998-06-01,-0.0014534883720929148
1998-07-01,-0.0014556040756915634
1998-08-01,-0.001457725947521804
1998-09-01,-0.0014598540145984717
1998-10-01,-0.004385964912280826
1998-11-01,-0.00587371512481627
1998-12-01,0.0
1999-01-01,-0.004431314623338234
1999-02-01,-0.0014836795252226587
1999-03-01,0.0
1999-04-01,0.002971768202080227
1999-05-01,-0.001481481481481417
1999-06-01,0.0029673590504448732
1999-07-01,0.004437869822485396
1999-08-01,0.0014727540500736325
