t,import_price_index_MoM_change
1970-02-01,0.002512562814070307
1970-03-01,0.005012531328320913
1970-04-01,0.0
1970-05-01,0.004987531172069737
1970-06-01,0.0
1970-07-01,0.007444168734491496
1970-08-01,-0.0024630541871921707
1970-09-01,0.004938271604938427
1970-10-01,0.0
1970-11-01,-0.004914004914004955
1970-12-01,-0.004938271604938316
1971-01-01,0.002481389578163906
1971-02-01,0.0
1971-03-01,0.007425742574257432
1971-04-01,0.004914004914004844
1971-05-01,0.0
1971-06-01,0.0024449877750611915
1971-07-01,-0.0024390243902439046
1971-08-01,-0.007334963325183352
1971-09-01,-0.007389162561576512
1971-10-01,-0.007444168734491274
1971-11-01,-0.0050000000000001155
1971-12-01,-0.002512562814070196
1972-01-01,-0.012594458438287104
1972-02-01,-0.005102040816326592
1972-03-01,0.00512820512820511
1972-04-01,0.0025510204081631294
1972-05-01,0.007633587786259666
1972-06-01,0.002525252525252597
1972-07-01,0.007556675062972307
1972-08-01,0.015000000000000124
1972-09-01,0.004926108374384119
1972-10-01,0.0171568627450982
1972-11-01,0.0
1972-12-01,0.012048192771084265
1973-01-01,0.023809523809523725
1973-02-01,0.0
1973-03-01,-0.0023255813953488857
1973-04-01,0.013986013986013957
1973-05-01,0.02758620689655178
1973-06-01,0.008948545861297452
1973-07-01,-0.006651884700665245
1973-08-01,0.0044642857142858094
1973-09-01,0.0
1973-10-01,0.02666666666666684
1973-11-01,0.06926406926406914
1973-12-01,0.036437246963562764
1974-01-01,0.103515625
1974-02-01,0.02123893805309729
1974-03-01,0.006932409012131657
1974-04-01,-0.005163511187607606
1974-05-01,0.0
1974-06-01,-0.0034602076124566894
1974-07-01,0.01388888888888884
1974-08-01,0.013698630136986356
1974-09-01,0.0050675675675675436
1974-10-01,0.0
1974-11-01,-0.005042016806722671
1974-12-01,-0.015202702702702853
1975-01-01,-0.02401372212692965
1975-02-01,-0.01581722319859402
1975-03-01,-0.0017857142857142794
1975-04-01,-0.003577817531305816
1975-05-01,0.0017953321364452268
1975-06-01,0.0
1975-07-01,0.016129032258064724
1975-08-01,0.022927689594356204
1975-09-01,0.01379310344827589
1975-10-01,0.008503401360544283
1975-11-01,-0.001686340640809303
1975-12-01,0.0050675675675675436
1976-01-01,0.0
1976-02-01,-0.001680672268907557
1976-03-01,0.0
1976-04-01,0.006734006734006703
1976-05-01,0.008361204013378032
1976-06-01,0.013266998341625369
1976-07-01,0.014729950900163713
1976-08-01,-0.003225806451612967
1976-09-01,0.0
1976-10-01,-0.009708737864077555
1976-11-01,-0.0016339869281045694
1976-12-01,0.0016366612111293755
1977-01-01,0.004901960784313708
1977-02-01,0.008130081300812941
1977-03-01,0.008064516129032251
1977-04-01,0.0016000000000000458
1977-05-01,0.0015974440894568342
1977-06-01,-0.009569377990430672
1977-07-01,-0.009661835748792313
1977-08-01,-0.004878048780487809
1977-09-01,0.0
1977-10-01,-0.0016339869281045694
1977-11-01,-0.00327332242225864
1977-12-01,-0.009852216748768461
1978-01-01,-0.011608623548922004
1978-02-01,-0.0134228187919464
1978-03-01,0.0
1978-04-01,0.0
1978-05-01,0.010204081632653184
1978-06-01,0.0033670033670034627
1978-07-01,-0.001677852348993314
1978-08-01,-0.001680672268907557
1978-09-01,0.0
1978-10-01,-0.0016835016835017313
1978-11-01,0.006745362563237878
1978-12-01,0.0
1979-01-01,0.010050251256281229
1979-02-01,0.021558872305140975
1979-03-01,0.014610389610389518
1979-04-01,0.022399999999999975
1979-05-01,0.018779342723004522
1979-06-01,0.02611367127496167
1979-07-01,0.017964071856287456
1979-08-01,0.004411764705882337
1979-09-01,0.0014641288433383526
1979-10-01,0.013157894736842035
1979-11-01,0.010101010101010166
1979-12-01,0.011428571428571344
1980-01-01,0.038135593220339103
1980-02-01,0.008163265306122325
1980-03-01,0.014844804318488558
1980-04-01,0.010638297872340496
1980-05-01,-0.003947368421052588
1980-06-01,-0.0013210039630120463
1980-07-01,0.0
1980-08-01,0.005291005291005346
1980-09-01,-0.001315789473684159
1980-10-01,0.025032938076416267
1980-11-01,0.01799485861182526
1980-12-01,0.008838383838383868
1981-01-01,0.023779724655819567
1981-02-01,0.019559902200489088
1981-03-01,0.004796163069544335
1981-04-01,0.01193317422434359
1981-05-01,0.015330188679245182
1981-06-01,0.015098722415795685
1981-07-01,0.01830663615560635
1981-08-01,0.020224719101123556
1981-09-01,-0.01982378854625544
1981-10-01,-0.00786516853932584
1981-11-01,-0.005662514156285381
1981-12-01,0.0
1982-01-01,0.002277904328018332
1982-02-01,0.00454545454545463
1982-03-01,0.0
1982-04-01,-0.002262443438914019
1982-05-01,-0.0113378684807256
1982-06-01,0.010321100917431103
1982-07-01,0.0034052213393871433
1982-08-01,0.005656108597285048
1982-09-01,0.0022497187851517886
1982-10-01,0.008978675645342493
1982-11-01,0.0022246941045604984
1982-12-01,-0.017758046614872347
1983-01-01,-0.013559322033898313
1983-02-01,-0.00572737686139746
1983-03-01,-0.011520737327188946
1983-04-01,0.002331002331002363
1983-05-01,0.0046511627906977715
1983-06-01,0.0092592592592593
1983-07-01,0.011467889908256979
1983-08-01,0.020408163265306145
1983-09-01,0.0022222222222223476
1983-10-01,-0.006651884700665245
1983-11-01,0.013392857142857206
1983-12-01,0.008810572687224738
1984-01-01,0.009825327510917026
1984-02-01,-0.010810810810810811
1984-03-01,-0.002185792349726823
1984-04-01,0.004381161007667167
1984-05-01,0.016357688113413316
1984-06-01,-0.0021459227467811592
1984-07-01,0.004301075268817289
1984-08-01,0.008565310492505418
1984-09-01,0.009554140127388422
1984-10-01,0.008412197686645806
1984-11-01,-0.0031282586027112647
1984-12-01,0.00313807531380772
1985-01-01,0.007299270072992581
1985-02-01,0.017598343685300222
1985-03-01,0.0050864699898269805
1985-04-01,-0.013157894736842035
1985-05-01,-0.00512820512820511
1985-06-01,-0.008247422680412342
1985-07-01,-0.016632016632016744
1985-08-01,-0.013742071881606699
1985-09-01,0.0
1985-10-01,-0.018220793140407365
1985-11-01,-0.0032751091703056012
1985-12-01,-0.009857612267250682
1986-01-01,-0.026548672566371723
1986-02-01,-0.027272727272727337
1986-03-01,-0.01869158878504662
1986-04-01,-0.021428571428571352
1986-05-01,-0.015815085158150777
1986-06-01,-0.017305315203955618
1986-07-01,-0.026415094339622525
1986-08-01,0.0
1986-09-01,-0.0025839793281654533
1986-10-01,-0.012953367875647714
1986-11-01,0.0
1986-12-01,-0.003937007874015741
1987-01-01,-0.0039525691699606735
1987-02-01,-0.007936507936507908
1987-03-01,0.0013333333333331865
1987-04-01,0.005326231691078709
1987-05-01,0.0013245033112581073
1987-06-01,0.001322751322751392
1987-07-01,0.006605019815059343
1987-08-01,0.005249343832020914
1987-09-01,-0.010443864229764954
1987-10-01,0.007915567282322122
1987-11-01,-0.015706806282722585
1987-12-01,0.0
1988-01-01,-0.0013297872340426453
1988-02-01,0.0013315579227697327
1988-03-01,0.0
1988-04-01,0.003989361702127603
1988-05-01,0.0066225165562914245
1988-06-01,0.009210526315789558
1988-07-01,0.00782268578878731
1988-08-01,0.00905562742561461
1988-09-01,-0.008974358974359053
1988-10-01,0.001293661060802087
1988-11-01,-0.0012919896640828377
1988-12-01,0.012936610608020649
1989-01-01,0.016602809706258048
1989-02-01,0.002512562814070307
1989-03-01,0.00877192982456143
1989-04-01,0.006211180124223503
1989-05-01,0.0024691358024691024
1989-06-01,-0.003694581280788145
1989-07-01,-0.014833127317676165
1989-08-01,0.005018820577164185
1989-09-01,0.0012484394506866447
1989-10-01,-0.0037406483790523026
1989-11-01,-0.008760951188986232
1989-12-01,-0.0037878787878787845
1990-01-01,-0.0076045627376426506
1990-02-01,-0.003831417624520994
1990-03-01,0.002564102564102555
1990-04-01,-0.010230179028132946
1990-05-01,-0.006459948320413411
1990-06-01,-0.005201560468140465
1990-07-01,0.0
1990-08-01,0.01699346405228752
1990-09-01,0.024421593830334265
1990-10-01,0.013801756587201952
1990-11-01,-0.011138613861386037
1990-12-01,-0.006257822277847325
1991-01-01,-0.007556675062972418
1991-02-01,-0.0076142131979695105
1991-03-01,0.005115089514066362
1991-04-01,0.010178117048346147
1991-05-01,-0.0012594458438288658
1991-06-01,0.003783102143757766
1991-07-01,0.0012562814070353756
1991-08-01,-0.0037641154328732496
1991-09-01,-0.008816120906801062
1991-10-01,0.0012706480304955914
1991-11-01,-0.002538071065989911
1991-12-01,-0.011450381679389166
1992-01-01,-0.0038610038610038533
1992-02-01,0.0025839793281652312
1992-03-01,0.0038659793814435073
1992-04-01,-0.0012836970474968679
1992-05-01,-0.0012853470437017567
1992-06-01,-0.0038610038610038533
1992-07-01,-0.006459948320413411
1992-08-01,-0.006501950585175553
1992-09-01,-0.00654450261780104
1992-10-01,0.0013175230566533358
