t,GDP_QoQ_change,construction_level_change_thousands_m1,construction_level_change_thousands_m2,construction_level_change_thousands_m3,construction_value_added_QoQ_change_annual,disposable_personal_QoQ_change_annual,employees_level_change_thousands,export_price_index_MoM_change_m1,export_price_index_MoM_change_m2,export_price_index_MoM_change_m3,exports_MoM_change_m1,exports_MoM_change_m2,exports_MoM_change_m3,GDI_QoQ_change_annual,HVPI_MoM_change_m1,HVPI_MoM_change_m2,HVPI_MoM_change_m3,HVPI_wo_food_energy_MoM_change_m1,HVPI_wo_food_energy_MoM_change_m2,HVPI_wo_food_energy_MoM_change_m3,ifo_bci_manufacturing_m1,ifo_bci_manufacturing_m2,ifo_bci_manufacturing_m3,ifo_bci_services_m1,ifo_bci_services_m2,ifo_bci_services_m3,ifo_bci_m1,ifo_bci_m2,ifo_bci_m3,ifo_employment_index_m1,ifo_employment_index_m2,ifo_employment_index_m3,import_price_index_MoM_change_m1,import_price_index_MoM_change_m2,import_price_index_MoM_change_m3,imports_MoM_change_m1,imports_MoM_change_m2,imports_MoM_change_m3,industry_orders_MoM_change_m1,industry_orders_MoM_change_m2,industry_orders_MoM_change_m3,inventories_level_change_thousands,job_vacancies_level_change_thousands,manufacturing_production_MoM_change_m1,manufacturing_production_MoM_change_m2,manufacturing_production_MoM_change_m3,personal_consumption_QoQ_change_annual,producer_price_index_MoM_change_m1,producer_price_index_MoM_change_m2,producer_price_index_MoM_change_m3,retail_sales_MoM_change_m1,retail_sales_MoM_change_m2,retail_sales_MoM_change_m3,unemployment_rate_ppt_change,unit_labor_costs_QoQ_change_annual
1963-04-01,4.484411506,,,,,,,,,,0.0274261603375527,-0.002053388090349,0.0205761316872428,,,,,,,,,,,,,,,,,,,,,,,0.0274261603375527,-0.002053388090349,0.0205761316872428,0.0449999999999999,0.0334928229665072,-0.0092592592592594,,,,,,,,,,-0.0045146726862301,-0.0045351473922903,-0.0227790432801822,,
1963-07-01,3.469247781,,,,,,,,,,-0.0262096774193548,0.0993788819875776,-0.0508474576271186,,,,,,,,,,,,,,,,,,,,,,,-0.0262096774193548,0.0993788819875776,-0.0508474576271186,-0.0093457943925233,0.0471698113207548,-0.009009009009009,,,,,,,,,,0.0396270396270397,0.0022421524663678,-0.0044742729306488,,
1963-10-01,0.483965882,,,,,,,,,,-0.0119047619047618,0.0863453815261043,-0.0203327171903882,,,,,,,,,,,,,,,,,,,,,,,-0.0119047619047618,0.0863453815261043,-0.0203327171903882,0.0318181818181817,0.0220264317180616,-0.0387931034482758,,,,,,,,,,0.0089887640449437,0.0178173719376393,-0.0021881838074399,,
1964-01-01,1.375907483,,,,,,,,,,-0.0207547169811319,0.0712909441233138,-0.0431654676258991,,,,,,,,,,,,,,,,,,,,,,,-0.0207547169811319,0.0712909441233138,-0.0431654676258991,0.0493273542600896,0.0555555555555555,-0.0445344129554654,,,,,,,,,,0.0043859649122806,-0.0021834061135369,0.0284463894967177,,
1964-04-01,1.221775492,,,,,,,,,,0.0037593984962405,0.0224719101123596,-0.0274725274725274,,,,,,,,,,,,,,,,,,,,,,,0.0037593984962405,0.0224719101123596,-0.0274725274725274,-0.0042372881355933,0.0340425531914894,-0.008230452674897,,,,,,,,,,-0.0170212765957445,0.0086580086580085,0.0107296137339056,,
1964-07-01,1.039093942,,,,,,,,,,-0.0056497175141241,0.0227272727272727,-0.0222222222222222,,,,,,,,,,,,,,,,,,,,,,,-0.0056497175141241,0.0227272727272727,-0.0222222222222222,0.0041493775933609,-0.0082644628099173,0.0041666666666666,,,,,,,,,,-0.0042462845010616,0.0063965884861407,0.0084745762711864,,
1964-10-01,1.360335531,,,,,,,,,,0.0530303030303029,-0.0035971223021582,0.0072202166064982,,,,,,,,,,,,,,,,,,,,,,,0.0530303030303029,-0.0035971223021582,0.0072202166064982,0.0082987551867219,0.0,0.0411522633744856,,,,,,,,,,0.0336134453781513,0.0040650406504063,0.0,,
1965-01-01,1.63656424,,,,,,,,,,0.103942652329749,-0.0649350649350649,0.0052083333333334,,,,,,,,,,,,,,,,,,,,,,,0.103942652329749,-0.0649350649350649,0.0052083333333334,0.0079051383399209,-0.0196078431372549,-0.02,,,,,,,,,,0.0161943319838058,-0.0059760956175299,-0.0100200400801603,,
1965-04-01,1.578070865,,,,,,,,,,-0.0345423143350605,0.0626118067978533,-0.0387205387205388,,,,,,,,,,,,,,,,,,,,,,,-0.0345423143350605,0.0626118067978533,-0.0387205387205388,0.0326530612244897,-0.0197628458498023,-0.0161290322580646,,,,,,,,,,0.048582995951417,-0.0135135135135134,0.009784735812133,,
1965-07-01,0.665875619,,,,,,,,,,0.0718038528896671,-0.0588235294117647,0.0243055555555555,,,,,,,,,,,,,,,,,,,,,,,0.0718038528896671,-0.0588235294117647,0.0243055555555555,0.0163934426229508,-0.0161290322580646,0.057377049180328,,,,,,,,,,0.0058139534883721,-0.0019267822736031,0.0057915057915058,,
