t,inventories_level_change_thousands
1991-04-01,3.0865444184600017
1991-07-01,-2.7108738752600003
1991-10-01,-1.5087158958200015
1992-01-01,-1.4193944265399987
1992-04-01,0.00796282998999959
1992-07-01,-4.333333379919999
1992-10-01,3.237584913479999
1993-01-01,-8.20769753755
1993-04-01,6.296789281549999
1993-07-01,2.1447347908300016
1993-10-01,-2.905463726080001
1994-01-01,-0.6925698190799995
1994-04-01,-0.7473446669500008
1994-07-01,4.3924533316
1994-10-01,2.033155501890002
1995-01-01,-1.2843665465800005
1995-04-01,0.6850438156199998
1995-07-01,-1.03429705483
1995-10-01,-2.114908801150001
1996-01-01,0.7204821865499998
1996-04-01,-3.41883915265
1996-07-01,-1.7725018700799993
1996-10-01,2.8347622148499996
1997-01-01,0.8806438501499997
1997-04-01,-0.35589849053000033
1997-07-01,-0.21450212411999928
1997-10-01,2.2407226831400004
1998-01-01,-1.2218051183200005
1998-04-01,0.14638767770999947
1998-07-01,1.6701227140200008
1998-10-01,0.02511179432999961
1999-01-01,-0.43586803341999986
1999-04-01,-5.264199775679999
1999-07-01,5.743226881929999
1999-10-01,-2.6549549723499988
2000-01-01,-1.0290163500900016
2000-04-01,0.8472478162200004
2000-07-01,2.19449568749
2000-10-01,-2.36553940521
2001-01-01,1.6337703104400008
2001-04-01,3.7438882570200005
2001-07-01,-2.0907927369300014
2001-10-01,-7.957442802179999
2002-01-01,-2.278346552759999
2002-04-01,4.056353681919999
2002-07-01,-0.6203829146400003
2002-10-01,-3.716329151309999
2003-01-01,3.7911700404900004
2003-04-01,-0.18773265037999953
2003-07-01,-2.46329022556
2003-10-01,0.38518942225999947
2004-01-01,-3.7674010926399997
2004-04-01,-2.30462614214
2004-07-01,5.974093155509999
2004-10-01,-0.5424559739900006
2005-01-01,-7.905575047679999
2005-04-01,4.11142545289
2005-07-01,-0.49817533951
2005-10-01,3.00932601487
2006-01-01,2.5810603961300003
2006-04-01,-3.2643201758200004
2006-07-01,0.9870106464800001
2006-10-01,-5.84957752598
2007-01-01,9.540574071510001
2007-04-01,-2.8720754317800004
2007-07-01,2.97559302312
2007-10-01,-0.5864019672600007
2008-01-01,-1.3912147463399989
2008-04-01,-2.0331993079000004
2008-07-01,3.42080871828
2008-10-01,-0.026863869529999647
2009-01-01,-8.45180357812
2009-04-01,-10.01330002291
2009-07-01,3.974811657109999
2009-10-01,-2.811364646769999
2010-01-01,10.53217259398
2010-04-01,1.69494740195
2010-07-01,-2.73616549657
2010-10-01,1.33185582042
2011-01-01,5.841788181510001
2011-04-01,0.4072751951799983
2011-07-01,-2.562866183039999
2011-10-01,-2.1599640294900007
2012-01-01,-5.8852439317
2012-04-01,-2.49367243903
2012-07-01,-2.4822595932100002
2012-10-01,3.33663689302
2013-01-01,2.96059374006
2013-04-01,2.89407003273
2013-07-01,-0.1841620266599998
2013-10-01,-3.86746922059
2014-01-01,3.71547616773
2014-04-01,0.4843267756800001
2014-07-01,-3.40536070194
2014-10-01,0.0062548420299999635
2015-01-01,-0.44856304118
2015-04-01,-4.35668341945
2015-07-01,2.13002621593
2015-10-01,-0.5366634596899998
2016-01-01,1.3582815158700001
2016-04-01,-2.4268813829299996
2016-07-01,1.1023630304799998
2016-10-01,2.9456190631199997
2017-01-01,3.2306553676000003
2017-04-01,-1.6125769544900002
2017-07-01,2.24130262493
2017-10-01,3.1320181904
2018-01-01,-4.83709137683
2018-04-01,1.3061278214
2018-07-01,4.07675219005
2018-10-01,-1.5032154693400006
2019-01-01,-4.95531018505
2019-04-01,-0.6749482830100001
2019-07-01,-0.26238451206
2019-10-01,2.07558342144
2020-01-01,4.55297760172
2020-04-01,-0.5718285173099994
2020-07-01,-12.122312536270002
2020-10-01,7.081779110259999
2021-01-01,13.36946336344
2021-04-01,-1.5821518924200009
2021-07-01,-6.6046989280199995
2021-10-01,3.734299578550001
2022-01-01,-9.07290444744
2022-04-01,5.29408196209
2022-07-01,4.36351718294
2022-10-01,4.65777284093
2023-01-01,-5.19430956702
2023-04-01,-0.5844182273499992
2023-07-01,-1.57394661996
2023-10-01,-4.00500006188
2024-01-01,0.8314039958200001
2024-04-01,-0.7536529305900003
2024-07-01,5.5730655694400015
2024-10-01,4.442077565179999
2025-01-01,-3.30075118415
2025-04-01,1.1785793176299995
2025-07-01,3.83832316654
2025-10-01,-2.255996541819999
