t,export_price_index_MoM_change
1970-02-01,0.0026385224274407815
1970-03-01,0.0
1970-04-01,0.0
1970-05-01,0.0026315789473685403
1970-06-01,0.002624671916010568
1970-07-01,0.005235602094240788
1970-08-01,0.0026041666666667407
1970-09-01,0.0025974025974027093
1970-10-01,0.012953367875647714
1970-11-01,0.005115089514066362
1970-12-01,0.0
1971-01-01,0.0
1971-02-01,0.0025445292620864812
1971-03-01,0.0
1971-04-01,0.002538071065989911
1971-05-01,0.0
1971-06-01,0.0025316455696202667
1971-07-01,0.002525252525252597
1971-08-01,0.005037783375314797
1971-09-01,0.0
1971-10-01,0.0
1971-11-01,0.0025062656641603454
1971-12-01,0.0
1972-01-01,-0.0025000000000000577
1972-02-01,0.0
1972-03-01,0.0025062656641603454
1972-04-01,0.0
1972-05-01,0.0050000000000001155
1972-06-01,0.0024875621890545485
1972-07-01,0.00496277915632759
1972-08-01,0.004938271604938427
1972-09-01,0.0073710073710073765
1972-10-01,0.004878048780487809
1972-11-01,0.0024271844660193054
1972-12-01,0.004842615012106588
1973-01-01,0.0072289156626506035
1973-02-01,0.004784688995215447
1973-03-01,0.0
1973-04-01,0.00952380952380949
1973-05-01,0.0070754716981134
1973-06-01,0.004683840749414525
1973-07-01,0.006993006993007089
1973-08-01,0.004629629629629539
1973-09-01,0.00691244239631339
1973-10-01,0.00686498855835227
1973-11-01,0.018181818181818077
1973-12-01,0.015625
1974-01-01,0.03516483516483526
1974-02-01,0.023354564755838636
1974-03-01,0.016597510373443924
1974-04-01,0.010204081632652962
1974-05-01,0.0060606060606061
1974-06-01,0.014056224899598346
1974-07-01,0.015841584158415856
1974-08-01,0.005847953216374435
1974-09-01,0.005813953488372103
1974-10-01,0.005780346820809301
1974-11-01,0.0019157088122603305
1974-12-01,0.0
1975-01-01,-0.003824091778202643
1975-02-01,-0.0038387715930903177
1975-03-01,0.0019267822736031004
1975-04-01,-0.0019230769230769162
1975-05-01,0.0019267822736031004
1975-06-01,0.0019230769230769162
1975-07-01,0.0038387715930900956
1975-08-01,0.0019120458891013214
1975-09-01,0.001908396946564972
1975-10-01,0.007619047619047636
1975-11-01,0.001890359168241984
1975-12-01,0.0037735849056603765
1976-01-01,0.007518796992481258
1976-02-01,0.0
1976-03-01,0.001865671641791078
1976-04-01,0.0018621973929235924
1976-05-01,0.0074349442379182396
1976-06-01,0.005535055350553542
1976-07-01,0.003669724770642313
1976-08-01,0.005484460694698212
1976-09-01,0.001818181818181941
1976-10-01,0.0
1976-11-01,0.0
1976-12-01,0.003629764065335772
1977-01-01,-0.00723327305605781
1977-02-01,0.0036429872495447047
1977-03-01,0.003629764065335772
1977-04-01,0.003616636528029016
1977-05-01,-0.0018018018018017834
1977-06-01,0.0036101083032491488
1977-07-01,0.0
1977-08-01,-0.0017985611510791255
1977-09-01,0.0018018018018017834
1977-10-01,0.0017985611510791255
1977-11-01,0.0017953321364452268
1977-12-01,-0.0017921146953403522
1978-01-01,0.0
1978-02-01,0.0017953321364452268
1978-03-01,-0.0017921146953403522
1978-04-01,0.0035906642728904536
1978-05-01,0.003577817531305927
1978-06-01,0.0035650623885916666
1978-07-01,0.001776198934280604
1978-08-01,0.0017730496453900457
1978-09-01,0.0035398230088496963
1978-10-01,0.0
1978-11-01,0.003527336860670083
