observation_date,DEUPERMITMISMEI
2013-04-01,95.66681
2013-05-01,90.61842
2013-06-01,88.72528
2013-07-01,98.06479
2013-08-01,94.65713
2013-09-01,97.43374
2013-10-01,90.11359
2013-11-01,90.11359
2013-12-01,87.58940
2014-01-01,98.19099
2014-02-01,90.74464
2014-03-01,92.89020
2014-04-01,93.26883
2014-05-01,94.90955
2014-06-01,92.00673
2014-07-01,96.29785
2014-08-01,100.21040
2014-09-01,90.23980
2014-10-01,96.55027
2014-11-01,91.62811
2014-12-01,88.59908
2015-01-01,88.72528
2015-02-01,96.29785
2015-03-01,98.19099
2015-04-01,94.40471
2015-05-01,98.69583
2015-06-01,97.81237
2015-07-01,102.35590
2015-08-01,102.10350
2015-09-01,102.73450
2015-10-01,102.86070
2015-11-01,107.40430
2015-12-01,108.41400
2016-01-01,115.60790
2016-02-01,116.23900
2016-03-01,118.13210
2016-04-01,115.48170
2016-05-01,110.05470
2016-06-01,119.89900
2016-07-01,106.52080
2016-08-01,109.42360
2016-09-01,114.97690
2016-10-01,116.49140
2016-11-01,127.21920
2016-12-01,115.48170
2017-01-01,110.81200
2017-02-01,108.79260
2017-03-01,111.56920
2017-04-01,112.83130
2017-05-01,114.72440
2017-06-01,119.89900
2017-07-01,110.93820
2017-08-01,116.87000
2017-09-01,109.80230
2017-10-01,117.62730
2017-11-01,113.33610
2017-12-01,117.87970
2018-01-01,111.82160
2018-02-01,112.20020
2018-03-01,116.87000
2018-04-01,112.70510
2018-05-01,129.86960
2018-06-01,110.81200
2018-07-01,126.46190
2018-08-01,118.63690
2018-09-01,121.41350
2018-10-01,102.48210
2018-11-01,108.28780
2018-12-01,122.67560
2019-01-01,117.75350
2019-02-01,102.22970
2019-03-01,112.07400
2019-04-01,119.77280
2019-05-01,113.33610
2019-06-01,114.85070
2019-07-01,116.74380
2019-08-01,123.55910
2019-09-01,118.88940
2019-10-01,121.91840
2019-11-01,129.11230
2019-12-01,143.24780
2020-01-01,123.43290
2020-02-01,109.29740
2020-03-01,116.36520
2020-04-01,123.05430
2020-05-01,120.27770
2020-06-01,134.79170
2020-07-01,115.10310
2020-08-01,120.90870
2020-09-01,119.77280
2020-10-01,116.36520
2020-11-01,137.31590
2020-12-01,125.83090
2021-01-01,129.23850
2021-02-01,136.81110
2021-03-01,151.95630
2021-04-01,117.62730
2021-05-01,125.19980
2021-06-01,120.78250
2021-07-01,117.75350
2021-08-01,121.91840
2021-09-01,120.90870
2021-10-01,118.00590
2021-11-01,115.98650
2021-12-01,138.32560
2022-01-01,136.55870
2022-02-01,130.12200
2022-03-01,139.58770
2022-04-01,125.95710
2022-05-01,122.54940
2022-06-01,116.74380
2022-07-01,118.13210
2022-08-01,106.26840
2022-09-01,108.54020
2022-10-01,101.59870
2022-11-01,100.21040
2022-12-01,104.12280
2023-01-01,94.40471
2023-02-01,99.45309
2023-03-01,92.76398
2023-04-01,82.16239
2023-05-01,83.92932
2023-06-01,73.83257
2023-07-01,74.33740
2023-08-01,67.39587
2023-09-01,80.01683
2023-10-01,85.19142
2023-11-01,81.15271
2023-12-01,67.01725
2024-01-01,69.79386
2024-02-01,74.84224
2024-03-01,72.69668
