"";BBDE1.M.DE.Y.GUA1.N2G470000.A.C.I15.L;BBDE1.M.DE.Y.GUA1.N2G470000.A.C.I15.L_FLAGS
"";Umsatz Insgesamt / in konstanten Preisen / Deutschland / 47 Einzelhandel (ohne Handel mit Kraftfahrzeugen) / kalender- und saisonbereinigt;
Dezimalstellen;1;
Dimension;Eins;
Einheit;2015=100;
Format der Zeitangabe;P1M;
Kategorie;KPUM;
Kommentar;"1) Quelle der Ausgangsdaten: Bis 1964: Eigene Berechnung der Deutschen Bundesbank unter Verwendung der auf Basis der Umsatzsteuerstatistik ermittelten Jahreswerte und unter Zugrundelegung der vom Statistischen Bundesamt veröffentlichten monatlichen Indizes. Ab 1965: Statistisches Bundesamt.- 2) Gebietsstand: Bis 1990 Westdeutschland (bis 1960 ohne Saarland und bis 1964 ohne Berlin-West), danach Deutschland (verkettet über den Jahresdurchschnitt 1991; eigene Berechnung).- 3) Methodik: Jahresdurchschnitte. Bis 1967 einschl. Umsatzsteuer, 1968 bis 1990 einschl. Mehrwertsteuer, ab 1991 ohne Mehrwertsteuer. Bis 1989 gemäß Systematik der Wirtschaftszweige, Ausgabe 1979; wobei bis 1979: Einzelhandel (Position 43) ohne Einzelhandel von Agenturtankstellen (Position 437.10) sowie von 1980 bis 1990: ohne Einzelhandel mit Fahrzeugen und -teilen (Position 438.1) sowie Kraft- und Schmierstoffen (Position 437). Von 1991 bis 1993 gemäß Klassifikation der Wirtschaftszweige, Ausgabe 1993: Einzelhandel (Positionen 52.1 - .6) (ohne Handel mit Kraftfahrzeugen und ohne Tankstellen). Ab 1994 gemäß Klassifikation der Wirtschaftszweige, Ausgabe 2008: Einzelhandel (Position 47) (ohne Handel mit Kraftfahrzeugen).";
Quelle;Kalender- und Saisonbereinigung basierend auf Ursprungswerten des Statistischen Bundesamts.;
Umrechnungsart;Durchschnitt;
Stand vom;17.03.2026 11:02:46 Uhr;
1950-01;14,2;
1950-02;14,7;
1950-03;15,0;
1950-04;14,9;
1950-05;15,0;
1950-06;15,4;
1950-07;16,6;
1950-08;17,1;
1950-09;18,3;
1950-10;16,5;
1950-11;17,3;
1950-12;17,4;
1951-01;19,4;
1951-02;18,1;
1951-03;17,9;
1951-04;16,2;
1951-05;15,7;
1951-06;17,3;
1951-07;15,7;
1951-08;16,9;
1951-09;17,3;
1951-10;17,4;
1951-11;17,1;
1951-12;17,6;
1952-01;17,3;
1952-02;17,7;
1952-03;17,8;
1952-04;17,9;
1952-05;18,7;
1952-06;17,4;
1952-07;18,8;
1952-08;18,7;
1952-09;19,0;
1952-10;18,9;
1952-11;19,3;
1952-12;19,4;
1953-01;20,2;
1953-02;19,7;
1953-03;21,3;
1953-04;19,9;
1953-05;20,9;
1953-06;20,6;
1953-07;21,3;
1953-08;21,4;
1953-09;21,7;
1953-10;21,9;
1953-11;22,4;
1953-12;22,1;
1954-01;22,9;
1954-02;22,4;
1954-03;22,3;
1954-04;23,4;
1954-05;22,4;
1954-06;23,0;
1954-07;23,7;
1954-08;22,6;
1954-09;23,1;
1954-10;23,6;
1954-11;23,5;
1954-12;24,2;
1955-01;23,6;
1955-02;25,6;
1955-03;24,7;
1955-04;24,9;
1955-05;25,2;
1955-06;24,5;
1955-07;26,2;
1955-08;24,7;
1955-09;26,1;
1955-10;26,7;
1955-11;26,4;
1955-12;26,8;
1956-01;26,8;
1956-02;27,6;
1956-03;29,7;
1956-04;24,7;
1956-05;27,0;
1956-06;29,1;
1956-07;27,3;
1956-08;28,8;
1956-09;28,6;
1956-10;27,5;
1956-11;30,5;
1956-12;29,6;
1957-01;29,1;
1957-02;29,6;
1957-03;29,4;
1957-04;30,6;
1957-05;28,9;
1957-06;30,8;
1957-07;29,9;
1957-08;30,7;
1957-09;31,0;
1957-10;29,7;
1957-11;31,3;
1957-12;30,8;
1958-01;31,7;
1958-02;30,8;
1958-03;31,8;
1958-04;29,6;
1958-05;31,3;
1958-06;30,5;
1958-07;31,5;
1958-08;31,5;
1958-09;31,2;
1958-10;31,3;
1958-11;31,1;
1958-12;31,8;
1959-01;33,7;
1959-02;32,5;
1959-03;33,2;
1959-04;32,0;
1959-05;32,8;
1959-06;33,6;
1959-07;33,4;
1959-08;33,0;
1959-09;33,1;
1959-10;33,5;
1959-11;33,7;
1959-12;34,2;
1960-01;36,1;
1960-02;35,1;
1960-03;35,0;
1960-04;37,1;
1960-05;37,0;
1960-06;36,5;
1960-07;37,6;
1960-08;36,6;
1960-09;38,2;
1960-10;38,6;
1960-11;38,2;
1960-12;38,7;
1961-01;37,6;
1961-02;38,1;
1961-03;39,6;
