t,retail_sales_MoM_change
1950-02-01,0.035211267605633756
1950-03-01,0.020408163265306145
1950-04-01,-0.006666666666666599
1950-05-01,0.006711409395973034
1950-06-01,0.026666666666666616
1950-07-01,0.07792207792207795
1950-08-01,0.030120481927710774
1950-09-01,0.07017543859649122
1950-10-01,-0.09836065573770492
1950-11-01,0.048484848484848575
1950-12-01,0.005780346820809079
1951-01-01,0.11494252873563227
1951-02-01,-0.06701030927835039
1951-03-01,-0.011049723756906271
1951-04-01,-0.0949720670391061
1951-05-01,-0.030864197530864224
1951-06-01,0.1019108280254779
1951-07-01,-0.09248554913294804
1951-08-01,0.07643312101910826
1951-09-01,0.02366863905325456
1951-10-01,0.005780346820809079
1951-11-01,-0.01724137931034464
1951-12-01,0.029239766081871288
1952-01-01,-0.017045454545454586
1952-02-01,0.023121387283236983
1952-03-01,0.005649717514124353
1952-04-01,0.00561797752808979
1952-05-01,0.04469273743016755
1952-06-01,-0.06951871657754016
1952-07-01,0.08045977011494276
1952-08-01,-0.005319148936170248
1952-09-01,0.016042780748663166
1952-10-01,-0.0052631578947369695
1952-11-01,0.021164021164021385
1952-12-01,0.005181347150258864
1953-01-01,0.04123711340206193
1953-02-01,-0.024752475247524774
1953-03-01,0.08121827411167515
1953-04-01,-0.06572769953051649
1953-05-01,0.05025125628140703
1953-06-01,-0.014354066985645786
1953-07-01,0.03398058252427183
1953-08-01,0.004694835680751019
1953-09-01,0.014018691588784993
1953-10-01,0.009216589861751112
1953-11-01,0.022831050228310446
1953-12-01,-0.013392857142856984
1954-01-01,0.036199095022624306
1954-02-01,-0.02183406113537123
1954-03-01,-0.004464285714285587
1954-04-01,0.049327354260089606
1954-05-01,-0.042735042735042694
1954-06-01,0.026785714285714413
1954-07-01,0.0304347826086957
1954-08-01,-0.04641350210970452
1954-09-01,0.022123893805309658
1954-10-01,0.02164502164502169
1954-11-01,-0.00423728813559332
1954-12-01,0.029787234042553123
1955-01-01,-0.024793388429751984
1955-02-01,0.0847457627118644
1955-03-01,-0.03515625000000011
1955-04-01,0.00809716599190291
1955-05-01,0.012048192771084265
1955-06-01,-0.02777777777777779
1955-07-01,0.06938775510204076
1955-08-01,-0.057251908396946605
1955-09-01,0.05668016194331993
1955-10-01,0.02298850574712641
1955-11-01,-0.011235955056179803
1955-12-01,0.015151515151515138
1956-01-01,0.0
1956-02-01,0.029850746268656803
1956-03-01,0.07608695652173902
1956-04-01,-0.16835016835016836
1956-05-01,0.09311740890688269
1956-06-01,0.07777777777777772
1956-07-01,-0.061855670103092786
1956-08-01,0.05494505494505497
1956-09-01,-0.00694444444444442
1956-10-01,-0.03846153846153855
1956-11-01,0.10909090909090913
1956-12-01,-0.02950819672131144
1957-01-01,-0.016891891891891886
1957-02-01,0.01718213058419238
1957-03-01,-0.006756756756756799
1957-04-01,0.04081632653061229
1957-05-01,-0.05555555555555569
1957-06-01,0.06574394463667832
1957-07-01,-0.02922077922077926
1957-08-01,0.026755852842809347
1957-09-01,0.009771986970684043
1957-10-01,-0.041935483870967794
1957-11-01,0.05387205387205385
1957-12-01,-0.015974440894568676
1958-01-01,0.02922077922077926
1958-02-01,-0.028391167192428957
1958-03-01,0.032467532467532534
1958-04-01,-0.0691823899371069
1958-05-01,0.057432432432432456
1958-06-01,-0.025559105431309903
1958-07-01,0.032786885245901676
1958-08-01,0.0
