t,manufacturing_production_MoM_change
1991-02-01,-0.020858895705521463
1991-03-01,0.0
1991-04-01,-0.00877192982456143
1991-05-01,-0.011378002528444897
1991-06-01,0.03069053708439884
1991-07-01,-0.01985111662531014
1991-08-01,-0.017721518987341867
1991-09-01,-0.005154639175257603
1991-10-01,0.02072538860103612
1991-11-01,0.011421319796954377
1991-12-01,-0.0025094102885822034
1992-01-01,0.015094339622641506
1992-02-01,0.014869888475836479
1992-03-01,-0.020757020757020794
1992-04-01,-0.004987531172069848
1992-05-01,-0.00877192982456143
1992-06-01,-0.011378002528444897
1992-07-01,-0.01406649616368294
1992-08-01,0.0038910505836577958
1992-09-01,-0.010335917312661591
1992-10-01,0.0026109660574413773
1992-11-01,-0.015625
1992-12-01,-0.006613756613756627
1993-01-01,-0.010652463382157085
1993-02-01,-0.012113055181695698
1993-03-01,-0.0013623978201635634
1993-04-01,-0.006821282401091366
1993-05-01,-0.0027472527472527375
1993-06-01,-0.0013774104683195176
1993-07-01,-0.022068965517241246
1993-08-01,0.04090267983074747
1993-09-01,-0.008130081300812941
1993-10-01,0.002732240437158584
1993-11-01,-0.008174386920981047
1993-12-01,0.008241758241758435
1994-01-01,0.004087193460490468
1994-02-01,0.01085481682496603
1994-03-01,0.0013422818791946067
1994-04-01,0.008042895442359255
1994-05-01,0.0
1994-06-01,0.0026595744680850686
1994-07-01,-0.006631299734747964
1994-08-01,0.005340453938584622
1994-09-01,0.007968127490040056
1994-10-01,0.02239789196310915
1994-11-01,0.0012886597938146505
1994-12-01,0.0012870012870012104
1995-01-01,-0.03213367609254503
1995-02-01,0.031872509960159334
1995-03-01,-0.014157014157014314
1995-04-01,0.005221932114882533
1995-05-01,0.006493506493506551
1995-06-01,-0.011612903225806548
1995-07-01,-0.0026109660574411553
1995-08-01,-0.010471204188481797
1995-09-01,0.013227513227513255
1995-10-01,-0.02088772845952991
1995-11-01,0.008000000000000007
1995-12-01,-0.006613756613756627
1996-01-01,-0.013315579227696439
1996-02-01,-0.012145748987854144
1996-03-01,0.020491803278688492
1996-04-01,0.009370816599732379
1996-05-01,0.010610079575596787
1996-06-01,0.001312335958005173
1996-07-01,-0.006553079947575369
1996-08-01,0.011873350923482962
1996-09-01,0.005215123859191539
1996-10-01,-0.015564202334630184
1996-11-01,0.011857707509881354
1996-12-01,0.0013020833333334814
1997-01-01,-0.031209362808842678
1997-02-01,0.024161073825503365
1997-03-01,0.014416775884665833
1997-04-01,-0.00387596899224818
1997-05-01,-0.01167315175097261
1997-06-01,0.030183727034120755
1997-07-01,0.01273885350318471
1997-08-01,-0.03270440251572315
1997-09-01,0.007802340702210531
1997-10-01,0.015483870967742064
1997-11-01,0.003811944091486552
1997-12-01,0.0037974683544304
1998-01-01,0.007566204287515976
1998-02-01,-0.0012515644555696204
1998-03-01,0.011278195488721776
1998-04-01,-0.009913258983890949
1998-05-01,0.006257822277847325
1998-06-01,-0.004975124378109541
1998-07-01,0.020000000000000018
1998-08-01,-0.019607843137254832
1998-09-01,-0.007499999999999951
1998-10-01,0.005037783375314797
1998-11-01,-0.013784461152882121
1998-12-01,0.0012706480304955914
1999-01-01,0.02284263959390853
1999-02-01,-0.023573200992555776
1999-03-01,0.011435832274459878
1999-04-01,0.0037688442211056827
1999-05-01,0.003754693366708306
